Suburb/Town Name,Offence Count
Reservoir,4448
Rhyll,18
Rich Avon East,1
Richmond,3885
Riddells Creek,85
Ringwood,3082
Ringwood East,628
Ringwood North,203
Ripplebrook,15
Rippleside,93
Ripponlea,96
Riverside,16
Riverslea,3
Robertsons Beach,10
Robinvale,404
Rochester,181
Rochford,1
Rockbank,76
Rocklands,1
Rokeby,9
Rokewood,15
Romsey,240
Rosanna,317
Rose River,1
Rosebrook,1
Rosebud,1570
Rosedale,100
Rosewhite,1
Ross Creek,16
Rossbridge,3
Rowsley,4
Rowville,1596
Roxburgh Park,1236
Rubicon,3
Ruby,1
Ruffy,1
Runnymede,1
Rupanyup,13
Rushworth,123
Russells Bridge,1
Rutherglen,89
Ryanston,6
Rye,680
Safety Beach,185
Sailors Falls,1
Sailors Gully,15
Sailors Hill,2
Sale,2134
Samaria,3
San Remo,80
Sandford,5
Sandhurst,183
Sandringham,484
Sandy Creek,2
Sandy Point,6
Sarsfield,5
Sassafras,22
Sawmill Settlement,4
Scarsdale,29
Scoresby,424
Scotsburn,8
Scotts Creek,4
Sea Lake,23
Seabrook,201
Seacombe,1
Seaford,2018
Seaholme,95
Seaspray,24
Seaton,3
Seaview,3
Sebastian,6
Sebastopol,956
Seddon,248
Sedgwick,1
Selby,50
Selwyn,3
Serpentine,12
Serviceton,25
Seville,79
Seville East,7
Seymour,985
Shady Creek,7
She Oaks,3
Shelbourne,4
Shelford,3
Shelley,1
Shepherds Flat,2
Shepparton,5148
Shepparton East,36
Shepparton North,29
Sherbrooke,13
Shoreham,13
Silvan,29
Silverleaves,6
Simpson,7
Simson,7
Skenes Creek,3
Skenes Creek North,1
Skipton,14
Skye,345
Smeaton,12
Smiths Beach,27
Smiths Gully,11
Smokeytown,1
Smythes Creek,17
Smythesdale,35
Snake Valley,22
Soldiers Hill,218
Somers,63
Somerton,247
Somerville,707
Sorrento,186
South Dudley,38
South Geelong,268
South Kingsville,72
South Melbourne,2091
South Morang,1129
South Purrumbete,1
South Wharf,208
South Yarra,2143
Southbank,2672
Southern Cross,3
Spargo Creek,3
Speed,1
Spotswood,286
Spring Gully,92
Spring Hill,3
Springbank,1
Springdallah,1
Springfield,9
Springhurst,29
Springmount,1
Springvale,1842
Springvale South,623
St Albans,3215
St Albans Park,252
St Andrews,31
St Andrews Beach,55
St Arnaud,162
St Arnaud East,7
St Germains,10
St Helena,67
St Helens Plains,3
St James,17
St Kilda,4436
St Kilda East,532
St Kilda West,246
St Leonards,162
Staceys Bridge,1
Staffordshire Reef,1
Staghorn Flat,5
Stanhope,35
Stanley,2
Staughton Vale,2
Stawell,608
Steels Creek,3
Steiglitz,14
Stewarton,3
Stockdale,3
Stockyard Hill,1
Stonehaven,4
Stoneleigh,1
Stony Creek,8
Stonyford,6
Stradbroke,11
Stratford,106
Strath Creek,12
Strathallan,9
Strathbogie,12
Strathdale,194
Strathdownie,4
Strathewen,3
Strathfieldsaye,90
Strathkellar,3
Strathlea,1
Strathmerton,37
Strathmore,391
Strathmore Heights,55
Strathtulloh,11
Streatham,1
Strzelecki,2
Stuart Mill,7
Sugarloaf Creek,8
Sulky,2
Summerlands,1
Sunbury,2451
Sunday Creek,5
Sunderland Bay,21
Sunset Strip,13
Sunshine,3428
Sunshine North,1162
Sunshine West,1213
Surf Beach,44
Surrey Hills,408
Sutherlands Creek,24
Sutton Grange,5
Swan Bay,1
Swan Hill,1459
Swan Hill West,1
Swan Marsh,3
Swan Reach,22
Swanpool,4
Swifts Creek,23
Sydenham,567
Sylvaterre,1
Tabilk,43
Taggerty,14
Tahara West,1
Talbot,26
Talgarno,2
Tallandoon,3
Tallangatta,35
Tallangatta East,1
Tallangatta South,1
Tallarook,66
Tallygaroopna,7
Tambo Upper,3
Tamboon,9
Taminick,2
Tangambalanga,12
Tanjil Bren,1
Tanjil South,21
Tanwood,4
Taradale,42
Tarnagulla,8
Tarneit,1455
Tarnook,1
Tarra Valley,13
Tarranyurk,3
Tarraville,1
Tarrawarra,2
Tarrawingee,7
Tarrengower,1
Tarrenlea,1
Tarrington,1
Tarrone,1
Tarwin,3
Tarwin Lower,18
Tatong,1
Tatura,212
Tatura East,12
Tatyoon,2
Tawonga,12
Tawonga South,4
Taylor Bay,1
Taylors Hill,626
Taylors Lakes,1299
Teal Point,1
Tecoma,76
Teddywaddy,1
Teesdale,13
Telopea Downs,3
Templestowe,416
Templestowe Lower,394
Tempy,6
Tenby Point,6
Tennyson,2
Terang,176
Terip Terip,1
Tesbury,1
Tetoora Road,2
The Basin,148
The Gurdies,12
The Heart,2
The Honeysuckles,2
The Patch,26
The Sisters,1
Thologolong,3
Thomastown,2197
Thomson,196
Thoona,6
Thornbury,1362
Thornhill Park,15
Thornton,7
Thorpdale,7
Thorpdale South,1
Thowgla Valley,4
Three Bridges,1
Timboon,27
Timmering,4
Timor,5
Tinamba,14
Tinamba West,5
Tintaldra,1
Tol Tol,2
Tolmie,7
Tongala,105
Tongio,3
Tonimbuk,6
Tooborac,27
Toolamba,28
Toolamba West,8
Toolangi,15
Toolern Vale,65
Toolleen,7
Toolong,1
Toombon,6
Toongabbie,25
Toora,40
Toora North,1
Tooradin,127
Toorak,812
Toorloo Arm,10
Tootgarook,490
Torquay,690
Torrita,1
Torrumbarry,13
Torwood,2
Tottenham,146
Tourello,3
Tower Hill,7
Trafalgar,638
Trafalgar East,28
Trafalgar South,8
Tragowel,2
Traralgon,3842
Traralgon East,72
Traralgon South,14
Travancore,118
Trawalla,12
Trawool,5
Tremont,16
Trentham,29
Trentham East,4
Tresco,7
Tresco West,6
Trida,3
Truganina,821
Tubbut,1
Tuerong,21
Tullamarine,960
Tungamah,26
Turtons Creek,1
Tyaak,2
Tyabb,164
Tyers,30
Tylden,38
Tynong,27
Tynong North,15
Tyntynder,4
Tyntynder South,5
Tyrendarra,2
Ullina,1
Ullswater,3
Ultima,14
Ulupna,4
Undera,26
Underbool,6
Upper Ferntree Gully,235
Upper Gundowring,2
Upper Plenty,47
Upwey,259
Valencia Creek,6
Vasey,1
Vectis,7
Ventnor,45
Venus Bay,40
Vermont,338
Vermont South,327
Vervale,3
Vesper,1
Victoria Valley,1
Viewbank,174
Vinifera,6
Violet Town,31
Vite Vite,1
W Tree,12
Waaia,6
Waanyarra,1
Wahgunyah,29
Wahring,16
Wail,1
Wairewa,4
Wal Wal,2
Waldara,1
Walhalla,18
Walkerville,5
Walkerville North,2
Walkerville South,1
Wallace,13
Wallacedale,6
Wallan,931
Wallinduc,2
Wallington,45
Walmer,1
Walpa,2
Walpeup,3
Walwa,14
Wandana Heights,61
Wandella,1
Wandiligong,7
Wandin East,8
Wandin North,95
Wando Vale,1
Wandong,69
Wangandary,3
Wangaratta,2261
Wangaratta South,10
Wangoom,2
Wannon,1
Wantirna,589
Wantirna South,1441
Waranga Shores,9
Waratah Bay,1
Warburton,122
Wareek,1
Warncoort,3
Warneet,22
Warracknabeal,126
Warragul,1279
Warragul South,3
Warragul West,1
Warrak,3
Warrandyte,153
Warrandyte South,14
Warranwood,64
Warrenbayne,1
Warrenheip,48
Warrenmang,1
Warrnambool,2902
Warrong,1
Wartook,3
Watchem,4
Watchem West,1
Waterford Park,5
Waterloo,15
Waterways,39
Watsonia,475
Watsonia North,76
Watsons Creek,3
Wattle Bank,4
Wattle Flat,4
Wattle Glen,38
Wattle Hill,4
Waubra,6
Waurn Ponds,201
Weatherboard,1
Wedderburn,50
Wedderburn Junction,1
Weering,1
Weir Views,57
Wellsford,21
Welshmans Reef,4
Welshpool,7
Wemen,1
Wendouree,1508
Wensleydale,4
Werona,1
Werribee,3901
Werribee South,164
Werrimull,4
Wesburn,38
West Bendigo,19
West Creek,3
West Footscray,623
West Melbourne,607
West Wodonga,817
Westbury,5
Westmeadows,456
Westmere,1
Wharparilla,11
Wheatsheaf,8
Wheelers Hill,484
White Hills,164
Whiteheads Creek,20
Whitfield,1
Whitlands,1
Whittington,505
Whittlesea,313
Whorouly,9
Whorouly East,1
Whroo,5
Wickliffe,3
Wilby,8
Wildwood,34
Willaura,19
Willaura North,2
Williams Landing,290
Williamstown,1132
Williamstown North,164
Willow Grove,9
Willowmavin,6
Willowvale,1
Willung,2
Willung South,4
Wilsons Hill,1
Wilsons Promontory,6
Wimbledon Heights,12
Winchelsea,122
Winchelsea South,3
Windermere,7
Windsor,850
Wingan River,4
Winter Valley,65
Winton,12
Winton North,1
Wiseleigh,1
Wodonga,2232
Wollert,332
Won Wron,5
Wonga Park,90
Wongarra,1
Wongungarra,1
Wonnangatta,6
Wonthaggi,729
Wonwondah,7
Wonyip,2
Wood Wood,5
Woodend,315
Woodend North,6
Woodfield,1
Woodleigh,3
Woods Point,16
Woodside,26
Woodside Beach,5
Woodstock,12
Woodvale,16
Wool Wool,1
Woolamai,4
Woolenook,1
Woolsthorpe,6
Woomelang,3
Wooragee,5
Woori Yallock,110
Woorinen,15
Woorinen North,1
Woorinen South,11
Woorndoo,2
Woosang,2
Wootong Vale,2
Wuk Wuk,4
Wunghnu,12
Wurdiboluc,2
Wurruk,89
Wy Yung,29
Wycheproof,44
Wye River,6
Wyelangta,1
Wyndham Vale,801
Wyuna,7
Wyuna East,8
Yaapeet,52
Yabba North,2
Yackandandah,22
Yalca,7
Yallambie,162
Yallourn,12
Yallourn North,175
Yalmy,1
Yambuk,5
Yambuna,6
Yan Yean,19
Yanac,15
Yanakie,24
Yandoit,7
Yandoit Hills,2
Yangery,1
Yannathan,5
Yapeen,12
Yarck,7
Yarpturk,2
Yarra Glen,57
Yarra Junction,169
Yarraberb,2
Yarragon,77
Yarragon South,1
Yarram,173
Yarrambat,59
Yarraville,735
Yarrawalla,14
Yarrawonga,259
Yarroweyah,30
Yea,90
Yellingbo,45
Yelta,13
Yendon,9
Yeo,1
Yeodene,1
Yering,6
Yielima,5
Yinnar,73
Yinnar South,35
Youanmite,4
Youarang,1
Yulecart,5
Yundool,2
Yuroke,20
Yuulong,1
Zeerust,7
