Heidelberg West,1175
Herne Hill,156
Heyfield,139
Heywood,115
Highett,770
Highton,663
Hillside,560
Hmas Cerberus,14
Hopetoun,12
Hopetoun Park,10
Hoppers Crossing,3010
Horsham,2182
Hughesdale,292
Huntingdale,175
Huntly,43
Hurstbridge,120
Indented Head,29
Inglewood,45
Inverleigh,36
Inverloch,298
Invermay Park,43
Ironbark,62
Ivanhoe,870
Ivanhoe East,118
Jacana,252
Jackass Flat,41
Jeparit,37
Junction Village,24
Junortoun,22
Kallista,29
Kalorama,10
Kangaroo Flat,1008
Kaniva,37
Katamatite,24
Katandra West,58
Kealba,356
Keilor,337
Keilor Downs,504
Keilor East,691
Keilor Lodge,35
Keilor North,30
Keilor Park,269
Kennington,255
Kensington,1213
Kerang,272
Kew,1370
Kew East,189
Keysborough,1350
Kialla West,14
Kiewa,22
Kilcunda,30
Kilmore,459
Kilsyth,600
Kilsyth South,100
Kinglake,57
Kinglake West,40
Kings Park,479
Kingsbury,255
Kingsville,136
Knoxfield,519
Koo Wee Rup,166
Koondrook,45
Kooyong,92
Koroit,81
Korumburra,259
Kyabram,380
Kyneton,558
Lake Boga,42
Lake Bolac,28
Lake Gardens,39
Lake Tyers Beach,24
Lake Wendouree,190
Lakes Entrance,777
Lalor,1418
Lancefield,100
Lang Lang,89
Langwarrin,978
Langwarrin South,28
Lara,787
Laverton,917
Laverton North,589
Learmonth,49
Leitchville,22
Leongatha,286
Leopold,341
Lethbridge,26
Lilydale,1441
Lindenow,11
Linton,37
Lismore,29
Little River,106
Loch Sport,84
Lockington,29
Long Gully,380
Longwarry,153
Lorne,165
Lovely Banks,97
Lower Plenty,174
Lynbrook,401
Lyndhurst,281
Lysterfield,175
Lysterfield South,52
Macarthur,19
Macedon,86
Macleod,566
Maffra,336
Magpie,14
Maiden Gully,95
Maidstone,726
Maldon,50
Mallacoota,104
Malmsbury,45
Malvern,624
Malvern East,1913
Manangatang,60
Manifold Heights,139
Mansfield,359
Marengo,4
Maribyrnong,1639
Marlo,27
Marong,31
Marshall,66
Maryborough,874
Maryknoll,6
Marysville,8
McCrae,174
McKinnon,170
Meadow Heights,1148
Meeniyan,24
Melbourne,21195
Melbourne Airport,728
Melton,1987
Mentone,769
Menzies Creek,11
Merbein,228
Meredith,28
Merino,20
Mernda,1071
Merrigum,27
Metung,69
Middle Park,261
Milawa,4
Mildura,4921
Mill Park,2117
Millgrove,59
Miners Rest,95
Minyip,11
Mirboo North,138
Mitcham,799
Mitchell Park,75
Moe - Newborough,2611
Monbulk,120
Mont Albert,171
Mont Albert North,99
Montmorency,239
Montrose,252
Moolap,392
Moonee Ponds,1615
Moorabbin,1033
Mooroolbark,1129
Mordialloc,654
Moriac,17
Mornington,1811
Mortlake,104
Morwell,4082
Mount Beauty - Tawonga South,33
Mount Buller,1
Mount Clear,176
Mount Dandenong,58
Mount Egerton,15
Mount Eliza,437
Mount Evelyn,299
Mount Helen,65
Mount Hotham,0
Mount Martha,374
Mount Pleasant,172
Mount Waverley,1039
Moyhu,7
Mulgrave,1555
Murchison,82
Murrayville,9
Murrumbeena,363
Murtoa,101
Myrniong,8
Myrtleford,151
Nagambie,97
Nar Nar Goon,49
Narre Warren,2882
Narre Warren North,257
